#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
1769.99,100.00,-4.66,-4.00
1770.99,100.00,-3.79,-4.00
1764.99,100.00,-3.99,-4.00
1746.99,100.00,-4.61,-4.00
1744.99,100.00,-4.69,-4.00
1747.99,100.00,-3.50,-4.00
1748.99,100.00,-3.38,-4.00
1739.98,100.00,-4.37,-4.00
1733.98,100.00,-4.22,-4.00
1724.98,100.00,-4.06,-4.00
1720.97,100.00,-3.70,-4.00
1718.97,100.00,-3.89,-4.00
1715.97,100.00,-3.76,-4.00
1707.98,100.00,-3.99,-4.00
1691.98,100.00,-4.06,-4.00
1695.98,100.00,-3.93,-4.00
1694.98,100.00,-3.89,-4.00
1687.97,100.00,-4.14,-4.00
1676.97,100.00,-4.31,-4.00
1671.97,100.00,-4.50,-4.00
1664.97,100.00,-4.12,-4.00
1664.97,100.00,-4.16,-4.00
1658.97,100.00,-4.18,-4.00
1655.97,100.00,-3.53,-4.00
1649.97,100.00,-3.71,-4.00
1642.97,100.00,-4.11,-4.00
1641.98,100.00,-4.19,-4.00
1633.98,100.00,-4.20,-4.00
1628.98,100.00,-4.16,-4.00
1618.99,100.00,-4.14,-4.00
1615.99,100.00,-4.12,-4.00
1617.99,99.00,-3.96,-4.00
1609.99,99.00,-4.16,-4.00
1600.99,99.00,-4.20,-4.00
1592.99,99.00,-3.91,-4.00
1592.00,100.00,-4.12,-4.00
1590.00,99.00,-4.16,-4.00
1585.00,99.00,-4.11,-4.00
1581.00,99.00,-3.81,-4.00
1570.00,100.00,-4.04,-4.00
1568.00,100.00,-3.85,-4.00
1565.00,100.00,-3.97,-4.00
1560.99,100.00,-3.87,-4.00
1553.99,99.00,-4.05,-4.00
1546.99,99.00,-4.09,-4.00
1543.99,99.00,-3.91,-4.00
1539.99,98.00,-4.04,-4.00
1532.99,99.00,-4.00,-4.00
1525.99,99.00,-4.04,-4.00
1522.99,99.00,-3.81,-4.00
1515.99,99.00,-3.95,-4.00
1510.99,99.00,-4.22,-4.00
1508.99,99.00,-3.99,-4.00
1500.99,99.00,-3.98,-4.00
1500.98,99.00,-3.65,-4.00
1492.98,99.00,-3.94,-4.00
1486.98,99.00,-4.11,-4.00
1481.99,99.00,-4.08,-4.00
1469.99,99.00,-4.43,-4.00
1469.99,99.00,-4.00,-4.00
1468.99,100.00,-3.97,-4.00
1461.99,99.00,-4.09,-4.00
1449.99,99.00,-4.45,-4.00
1443.99,100.00,-4.41,-4.00
1443.99,100.00,-4.12,-4.00
1437.99,100.00,-4.26,-4.00
1433.99,100.00,-4.25,-4.00
1427.99,100.00,-4.18,-4.00
1420.99,100.00,-4.20,-4.00
1415.99,100.00,-4.29,-4.00
1411.00,100.00,-4.20,-4.00
1408.00,100.00,-4.13,-4.00
1404.00,100.00,-4.22,-4.00
1396.00,100.00,-4.17,-4.00
1392.00,100.00,-4.34,-4.00
1389.00,100.00,-4.13,-4.00
1388.99,100.00,-3.88,-4.00
1376.99,101.00,-4.20,-4.00
1372.99,100.00,-3.86,-4.00
1368.98,100.00,-4.01,-4.00
1359.98,101.00,-4.31,-4.00
1357.98,101.00,-4.15,-4.00
1351.98,101.00,-3.90,-4.00
1347.97,102.00,-3.79,-4.00
1342.97,102.00,-4.00,-4.00
1337.97,102.00,-3.94,-4.00
1333.97,102.00,-3.94,-4.00
1324.97,101.00,-4.06,-4.00
1320.97,101.00,-3.95,-4.00
1317.98,101.00,-3.85,-4.00
1312.98,101.00,-3.88,-4.00
1306.98,101.00,-4.01,-4.00
1301.98,101.00,-4.02,-4.00
1299.98,101.00,-3.82,-4.00
1299.98,101.00,-3.65,-4.00
1284.99,100.00,-4.06,-4.00
1281.99,100.00,-4.19,-4.00
1277.99,100.00,-3.84,-4.00
1269.99,100.00,-3.99,-4.00
1263.99,100.00,-4.07,-4.00
1257.99,100.00,-3.97,-4.00
1256.00,100.00,-3.96,-4.00
1249.00,100.00,-4.00,-4.00
1244.00,100.00,-4.07,-4.00
1240.00,100.00,-4.01,-4.00
1237.00,99.00,-3.94,-4.00
1225.00,99.00,-4.24,-4.00
1224.00,99.00,-3.94,-4.00
1219.00,99.00,-3.95,-4.00
1214.00,99.00,-4.05,-4.00
1210.00,99.00,-4.01,-4.00
1203.00,99.00,-4.01,-4.00
1200.00,99.00,-3.96,-4.00
1195.00,99.00,-4.07,-4.00
1193.99,99.00,-4.11,-4.00
1188.99,99.00,-3.78,-4.00
1188.99,99.00,-3.65,-4.00
1170.99,99.00,-4.19,-4.00
1166.99,100.00,-4.04,-4.00
1166.99,100.00,-3.81,-4.00
1157.99,100.00,-3.88,-4.00
1148.99,100.00,-4.18,-4.00
1145.99,100.00,-4.02,-4.00
1142.99,100.00,-3.91,-4.00
1134.99,100.00,-4.09,-4.00
1128.99,100.00,-4.21,-4.00
